Date,State,day_care_closed,restaurants_closed,gyms_closed,movie_theatres_closed,bars_closed,casinos_closed,schools_closed,nusring_home_visits_banned
5/26/2020,MI,1,1,1,1,1,1,1,1
7/26/2020,NC,0,0,1,1,1,0,1,1
12/3/2020,SC,0,0,0,0,0,0,1,1
1/4/2021,LA,0,0,0,0,1,0,1,1
9/8/2020,RI,0,0,0,0,0,0,0,1
11/12/2020,CA,0,1,1,1,1,0,1,0
4/22/2020,AR,0,1,1,1,1,1,1,1
9/14/2020,OR,0,0,0,1,0,0,1,1
7/7/2020,MS,0,0,0,0,0,0,1,1
1/25/2021,IN,0,0,0,0,0,0,1,0
1/31/2021,IL,0,1,0,1,1,1,1,0
4/24/2020,VA,0,1,1,1,1,0,1,0
2/8/2020,KY,0,0,0,0,0,0,0,0
4/11/2020,AL,1,1,1,1,1,1,1,1
3/7/2020,NH,0,0,0,0,0,0,0,0
9/23/2020,MD,0,0,0,0,0,0,1,1
8/5/2020,KY,0,0,0,0,0,0,1,0
9/25/2020,NJ,0,0,0,0,0,0,1,1
5/18/2020,MS,0,1,1,1,1,1,1,1
2/9/2020,MO,0,0,0,0,0,0,0,0
2/21/2021,MS,0,0,0,0,0,0,1,1
2/22/2020,MT,0,0,0,0,0,0,0,0
2/6/2021,OR,0,1,1,1,1,0,1,1
1/28/2020,WY,0,0,0,0,0,0,0,0
6/21/2020,DE,1,0,0,0,1,0,1,0
3/11/2020,WA,0,0,0,0,0,0,0,0
3/8/2020,VA,0,0,0,0,0,0,0,0
9/18/2020,CA,0,1,1,1,1,0,1,0
9/19/2020,MI,0,0,1,1,1,0,1,1
11/18/2020,VA,0,0,0,0,0,0,1,0
1/27/2020,NV,0,0,0,0,0,0,0,0
1/12/2021,AZ,0,0,1,1,1,0,1,0
4/29/2020,MI,1,1,1,1,1,1,1,1
8/26/2020,WY,0,0,0,0,0,0,1,0
7/16/2020,VA,0,0,0,0,0,0,1,0
5/29/2020,ID,0,1,1,1,1,0,1,0
11/26/2020,WY,0,0,0,0,0,0,1,0
8/11/2020,KY,0,0,0,0,1,0,1,0
8/2/2020,MO,0,0,0,1,0,0,1,1
12/16/2020,VT,0,0,0,0,0,0,1,1
2/10/2020,VA,0,0,0,0,0,0,0,0
5/30/2020,AL,1,0,0,1,0,1,1,1
2/17/2021,AZ,0,0,1,1,1,0,1,0
8/30/2020,OR,0,0,0,1,0,0,1,1
1/30/2021,MT,0,0,0,0,0,0,1,1
2/24/2020,OR,0,0,0,0,0,0,0,0
