state,allocation_week,first_dose,second_dose,running_total
MO,3/8/2021,76050,76050,424710
MS,3/8/2021,36270,36270,204750
MT,3/8/2021,14040,14040,76050
NC,3/8/2021,126360,126360,706680
ND,3/8/2021,10530,10530,54990
NE,3/8/2021,23400,23400,132210
NH,3/8/2021,17550,17550,99450
NJ,3/8/2021,111150,111150,620100
NM,3/8/2021,25740,25740,147420
NV,3/8/2021,36270,36270,203580
NY,3/8/2021,140400,140400,786240
OH,3/8/2021,143910,143910,809640
OK,3/8/2021,47970,47970,269100
OR,3/8/2021,51480,51480,292500
PA,3/8/2021,141570,141570,796770
RI,3/8/2021,14040,14040,78390
SC,3/8/2021,62010,62010,347490
SD,3/8/2021,10530,10530,59670
TN,3/8/2021,83070,83070,463320
TX,3/8/2021,328770,328770,1841580
UT,3/8/2021,35100,35100,194220
VA,3/8/2021,105300,105300,587340
VT,3/8/2021,8190,8190,47970
WA,3/8/2021,91260,91260,513630
WI,3/8/2021,72540,72540,407160
WV,3/8/2021,23400,23400,132210
WY,3/8/2021,8190,8190,43290
AK,3/15/2021,0,0,79560
AL,3/15/2021,65520,65520,279630
AR,3/15/2021,39780,39780,168480
AZ,3/15/2021,92430,92430,394290
CA,3/15/2021,515970,515970,2208960
CO,3/15/2021,73710,73710,315900
CT,3/15/2021,49140,49140,210600
DC,3/15/2021,10530,10530,44460
DE,3/15/2021,12870,12870,57330
FL,3/15/2021,281970,281970,1207440
GA,3/15/2021,134550,134550,575640
HI,3/15/2021,19890,19890,84240
IA,3/15/2021,42120,42120,177840
ID,3/15/2021,22230,22230,93600
IL,3/15/2021,136890,136890,547560
IN,3/15/2021,87750,87750,374400
KS,3/15/2021,38610,38610,163800
KY,3/15/2021,59670,59670,255060
LA,3/15/2021,62010,62010,263250
MA,3/15/2021,93600,93600,402480
MD,3/15/2021,80730,80730,345150
ME,3/15/2021,18720,18720,81900
MI,3/15/2021,133380,133380,570960
MN,3/15/2021,73710,73710,314730
MO,3/15/2021,80730,80730,348660
MS,3/15/2021,39780,39780,168480
MT,3/15/2021,14040,14040,62010
NC,3/15/2021,135720,135720,580320
ND,3/15/2021,10530,10530,44460
NE,3/15/2021,25740,25740,108810
NH,3/15/2021,18720,18720,81900
NJ,3/15/2021,119340,119340,508950
NM,3/15/2021,28080,28080,121680
NV,3/15/2021,38610,38610,167310
NY,3/15/2021,150930,150930,645840
OH,3/15/2021,155610,155610,665730
OK,3/15/2021,51480,51480,221130
OR,3/15/2021,56160,56160,241020
PA,3/15/2021,153270,153270,655200
RI,3/15/2021,15210,15210,64350
SC,3/15/2021,66690,66690,285480
SD,3/15/2021,11700,11700,49140
TN,3/15/2021,88920,88920,380250
TX,3/15/2021,353340,353340,1512810
UT,3/15/2021,37440,37440,159120
VA,3/15/2021,112320,112320,482040
VT,3/15/2021,9360,9360,39780
WA,3/15/2021,98280,98280,422370
WI,3/15/2021,78390,78390,334620
WV,3/15/2021,25740,25740,108810
WY,3/15/2021,8190,8190,35100
AK,3/22/2021,0,0,79560
AL,3/22/2021,66690,66690,214110
AR,3/22/2021,39780,39780,128700
AZ,3/22/2021,93600,93600,301860
CA,3/22/2021,524160,524160,1692990
CO,3/22/2021,74880,74880,242190
CT,3/22/2021,50310,50310,161460
DC,3/22/2021,10530,10530,33930
DE,3/22/2021,14040,14040,44460
FL,3/22/2021,286650,286650,925470
