"","submission_date","state","political.party.affilation","Total.population","day_care_closed","restaurants_closed","gyms_closed","movie_theatres_closed","bars_closed","casinos_closed","schools_closed","nusring_home_visits_banned","new_deaths_per_100k","new_cases_per_100k","log_new_deaths_per_100k","log_new_cases_per_100k","per.male","per.female","per.65.and.over","per.white","per.black","per.amer.ind","per.asian","per.pac.isl","pop.dens"
"15353","2021-01-15","NV","DEMOCRAT","2972382","0","0","0","0","0","0","1","0",1.34572205053052,63.1816502724078,0.296930709549605,4.14601391520388,50.2,49.8,15.4,65.6,9.1,1.3,8.2,0.7,27.0755595230504
"15354","2020-06-01","AZ","DEMOCRAT","7050299","0","0","0","0","0","0","1","0",0.156021751701594,2.65236977892711,-1.85775984746803,0.975453496588182,49.7,50.3,17.1,77.2,4.5,4.5,3.3,0.2,62.065769318802
"15355","2020-02-12","WY","REPUBLICAN","581024","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,51,49,15.7,91.4,1,2.4,0.9,0.1,5.98420071477861
"15356","2021-01-10","WY","REPUBLICAN","581024","0","0","0","0","0","0","1","0",0,19.4484220961613,-Inf,2.96776594061218,51,49,15.7,91.4,1,2.4,0.9,0.1,5.98420071477861
"15357","2021-02-02","ME","DEMOCRAT","1335492","0","0","0","0","0","0","1","0",0.673908941423835,20.5167833277923,-0.394660278941945,3.02124325010991,49,51,20,94.3,1.4,0.6,1.1,0,43.2996790195506
"15358","2020-07-14","ID","REPUBLICAN","1717750","0","0","0","0","0","0","1","0",0.0582156891282201,18.3961577645175,-2.84360038792309,2.91214182566382,50.1,49.9,15.4,90,0.7,1.3,1.4,0.2,20.785184468134
"15359","2020-04-12","WA","DEMOCRAT","7404107","0","1","1","1","1","0","1","1",0.229602300452978,2.52562530498276,-1.47140659519241,0.926488677605956,50,50,15.1,75.4,3.8,1.3,8.5,0.7,111.413672204165
"15360","2020-02-05","AZ","DEMOCRAT","7050299","0","0","0","0","0","0","0","0",0,0,-Inf,-Inf,49.7,50.3,17.1,77.2,4.5,4.5,3.3,0.2,62.065769318802
"15361","2021-02-05","ND","REPUBLICAN","756717","0","0","0","0","0","0","1","1",0.264299599453957,1.45364779699676,-1.33067197287075,0.37407611936768,51.2,48.8,14.9,86.6,2.9,5.3,1.5,0.1,10.966754105013
"15362","2020-04-09","ID","REPUBLICAN","1717750","0","1","1","1","1","0","1","0",0.34929413476932,7.04409838451463,-1.05184091869504,1.95219015767365,50.1,49.9,15.4,90,0.7,1.3,1.4,0.2,20.785184468134
"15363","2020-12-07","ND","REPUBLICAN","756717","0","0","0","0","0","0","1","1",5.5502915885331,62.7711548703148,1.71385046485268,4.13949565060395,51.2,48.8,14.9,86.6,2.9,5.3,1.5,0.1,10.966754105013
"15364","2020-08-08","CT","DEMOCRAT","3575074","0","0","0","0","1","0","1","1",0,0,-Inf,-Inf,48.8,51.2,16.8,75.9,10.7,0.3,4.5,0,738.346551011978
"15365","2020-07-12","KY","REPUBLICAN","4449052","0","0","0","0","1","0","1","0",0.0674300952202851,6.02375517301214,-2.69666384410132,1.79571084774143,49.2,50.8,16,87,8.1,0.2,1.5,0.1,112.674162994479
"15366","2020-03-06","IN","REPUBLICAN","6665703","0","0","0","0","0","0","0","0",0,0.0150021685634658,-Inf,-4.19956051743157,49.3,50.7,15.4,83.3,9.4,0.2,2.3,0,186.057695528387
"15367","2020-05-21","VA","DEMOCRAT","8454463","0","1","1","1","1","0","1","0",0.437638676755697,9.61622281628058,-0.826361647968977,2.26345154893461,49.2,50.8,15,67.6,19.2,0.3,6.4,0.1,214.091238288174
"15368","2020-10-07","NC","REPUBLICAN","10264876","0","0","0","1","1","0","1","1",0.224065054463395,16.6684916602987,-1.49581884757973,2.81352021038331,48.7,51.3,15.9,68.7,21.4,1.2,2.9,0.1,211.133242831873
"15369","2020-04-22","KY","REPUBLICAN","4449052","1","1","1","1","1","0","1","0",0.314673777694664,4.06828241162387,-1.15621880315417,1.4032208984964,49.2,50.8,16,87,8.1,0.2,1.5,0.1,112.674162994479
"15370","2020-08-10","KY","REPUBLICAN","4449052","0","0","0","0","0","0","1","0",0.0449533968135234,6.11366196663919,-3.10212895220948,1.81052593352657,49.2,50.8,16,87,8.1,0.2,1.5,0.1,112.674162994479
"15371","2020-09-11","WY","REPUBLICAN","581024","0","0","0","0","0","0","1","0",0,11.0150355234896,-Inf,2.39926120525951,51,49,15.7,91.4,1,2.4,0.9,0.1,5.98420071477861
"15372","2020-07-06","NE","REPUBLICAN","1914571","0","0","1","1","1","0","1","0",-0.0522310219887379,6.11102957268234,NA,1.81009526515526,49.9,50.1,15.4,87.1,4.8,0.9,2.4,0.1,24.9215219202333
